"id","resource","action","description","category","created_at","updated_at"
"cmlk80flm000whgwa6ybnxkrz","news_articles","update","Edit news articles","News","2026-02-13 01:40:19.655","2026-02-13 01:40:19.655"
"cmlk80g48000xhgwaws39snvv","news_articles","delete","Delete news articles","News","2026-02-13 01:40:20.297","2026-02-13 01:40:20.297"
"cmlk80gx5000yhgwai9vrthsw","comments","create","Create comments","News","2026-02-13 01:40:21.374","2026-02-13 01:40:21.374"
"cmlk80hfb000zhgwa51iych8e","comments","read","View comments","News","2026-02-13 01:40:22.027","2026-02-13 01:40:22.027"
"cmlk80hy20010hgwaubqxv66k","comments","update","Edit comments","News","2026-02-13 01:40:22.700","2026-02-13 01:40:22.700"
"cmlk80ifv0011hgwaj5w8rhzv","comments","delete","Delete comments","News","2026-02-13 01:40:23.304","2026-02-13 01:40:23.304"
"cmlk80iyr0012hgwa2q6qyz27","staff","create","Create staff","Staff","2026-02-13 01:40:24.023","2026-02-13 01:40:24.023"
"cmlk80jhg0013hgwaihlj9e09","staff","read","View staff","Staff","2026-02-13 01:40:24.701","2026-02-13 01:40:24.701"
"cmlk80k8u0014hgwah88txzcv","staff","update","Edit staff","Staff","2026-02-13 01:40:25.365","2026-02-13 01:40:25.365"
"cmlk80kpr0015hgwa6r1v7rst","staff","delete","Delete staff","Staff","2026-02-13 01:40:26.299","2026-02-13 01:40:26.299"
"cmlk80lcm0016hgwa3p40m43b","leagues","create","Create leagues","Leagues & Seasons","2026-02-13 01:40:27.112","2026-02-13 01:40:27.112"
"cmlk80ltq0017hgwa7qda409x","leagues","read","View leagues","Leagues & Seasons","2026-02-13 01:40:27.735","2026-02-13 01:40:27.735"
"cmlk80mbe0018hgwalbduvd05","leagues","update","Edit leagues","Leagues & Seasons","2026-02-13 01:40:28.335","2026-02-13 01:40:28.335"
"cmlk80msq0019hgwa3wg6nx61","leagues","delete","Delete leagues","Leagues & Seasons","2026-02-13 01:40:28.991","2026-02-13 01:40:28.991"
"cmlk80n9n001ahgwad9r2muzj","leagues","bulk_delete","Bulk delete leagues","Leagues & Seasons","2026-02-13 01:40:29.603","2026-02-13 01:40:29.603"
"cmlk80nqb001bhgwallejqlul","seasons","create","Create seasons","Leagues & Seasons","2026-02-13 01:40:30.214","2026-02-13 01:40:30.214"
"cmlk80o7f001chgwakue918y3","seasons","read","View seasons","Leagues & Seasons","2026-02-13 01:40:30.820","2026-02-13 01:40:30.820"
"cmlk80opf001dhgwai1krzy0e","seasons","update","Edit seasons","Leagues & Seasons","2026-02-13 01:40:31.435","2026-02-13 01:40:31.435"
"cmlk80p6q001ehgwaa3blrnw8","seasons","delete","Delete seasons","Leagues & Seasons","2026-02-13 01:40:32.091","2026-02-13 01:40:32.091"
"cmlk80pnq001fhgwa0sbujubm","seasons","bulk_delete","Bulk delete seasons","Leagues & Seasons","2026-02-13 01:40:32.702","2026-02-13 01:40:32.702"
"cmlk80q4a001ghgwafpj6sav0","page_contents","create","Create pages","Content","2026-02-13 01:40:33.306","2026-02-13 01:40:33.306"
"cmlk80qku001hhgwa213pe8ai","page_contents","read","View pages","Content","2026-02-13 01:40:33.903","2026-02-13 01:40:33.903"
"cmlk80r21001ihgwauz87ilhj","page_contents","update","Edit pages","Content","2026-02-13 01:40:34.491","2026-02-13 01:40:34.491"
"cmlk80rjv001jhgwaeeo9w6q5","page_contents","delete","Delete pages","Content","2026-02-13 01:40:35.147","2026-02-13 01:40:35.147"
"cmlk80sa6001khgwantrden1t","page_contents","bulk_delete","Bulk delete pages","Content","2026-02-13 01:40:36.098","2026-02-13 01:40:36.098"
"cmlk80sry001lhgwam5d26qyj","site_settings","read","View settings","Settings","2026-02-13 01:40:36.727","2026-02-13 01:40:36.727"
"cmlk80ten001mhgwak0cth4td","potw","create","Create POTW entries","Player of the Week","2026-02-13 01:40:37.560","2026-02-13 01:40:37.560"
"cmlk80tvz001nhgwa0a03hc84","potw","read","View POTW entries","Player of the Week","2026-02-13 01:40:38.183","2026-02-13 01:40:38.183"
"cmlk80ude001ohgwaj9st879a","potw","update","Edit POTW entries","Player of the Week","2026-02-13 01:40:38.800","2026-02-13 01:40:38.800"
"cmlk80uvq001phgwanri8vkpz","potw","delete","Delete POTW entries","Player of the Week","2026-02-13 01:40:39.441","2026-02-13 01:40:39.441"
"cmlk80veo001qhgwaxnyj6ttt","sponsors","create","Create sponsors","Sponsors","2026-02-13 01:40:40.133","2026-02-13 01:40:40.133"
"cmlk80vv1001rhgwayi1b9wlq","sponsors","read","View sponsors","Sponsors","2026-02-13 01:40:40.758","2026-02-13 01:40:40.758"
"cmlk80wcd001shgway0x3bps8","sponsors","update","Edit sponsors","Sponsors","2026-02-13 01:40:41.363","2026-02-13 01:40:41.363"
"cmlk80wso001thgwarzwya2fm","sponsors","delete","Delete sponsors","Sponsors","2026-02-13 01:40:41.953","2026-02-13 01:40:41.953"
"cmlk80x9q001uhgwa0li23x9u","tournaments","create","Create tournaments","Tournaments","2026-02-13 01:40:42.547","2026-02-13 01:40:42.547"
"cmlk80xrn001vhgwasn3p335a","tournaments","read","View tournaments","Tournaments","2026-02-13 01:40:43.205","2026-02-13 01:40:43.205"
"cmlk80y86001whgwajld8ggck","tournaments","update","Edit tournaments","Tournaments","2026-02-13 01:40:43.819","2026-02-13 01:40:43.819"
"cmlk80yp2001xhgwavv5fuuyz","tournaments","delete","Delete tournaments","Tournaments","2026-02-13 01:40:44.427","2026-02-13 01:40:44.427"
"cmlk80z5z001yhgwahpphf6if","tournaments","generate_bracket","Generate tournament brackets","Tournaments","2026-02-13 01:40:45.019","2026-02-13 01:40:45.019"
"cmlk80zmr001zhgwa7mtbhwqm","reports","read","View reports","Reports","2026-02-13 01:40:45.609","2026-02-13 01:40:45.609"
"cmlk810jl0020hgwa5q7bz9ra","notifications","read","View notifications","Notifications","2026-02-13 01:40:46.793","2026-02-13 01:40:46.793"
"cmlk8110x0021hgwa7xb1boxp","notifications","manage","Manage notifications","Notifications","2026-02-13 01:40:47.426","2026-02-13 01:40:47.426"
"cmlk811hu0022hgwa2lcsv6c7","game_rules","read","View game rules","Game Rules","2026-02-13 01:40:48.046","2026-02-13 01:40:48.046"
"cmlk811ya0023hgwazqbnfv9o","game_rules","manage","Manage game rules","Game Rules","2026-02-13 01:40:48.643","2026-02-13 01:40:48.643"

"cmmessages0000000000000001","contact_messages","read","View contact messages","Communication","2026-03-14 00:00:00.000","2026-03-14 00:00:00.000"
"cmsubscribers000000000001","subscribers","read","View subscribers list","Communication","2026-03-15 00:00:00.000","2026-03-15 00:00:00.000"
"cmsubscribers000000000002","subscribers","manage","Manage subscribers (activate/deactivate)","Communication","2026-03-15 00:00:00.000","2026-03-15 00:00:00.000"
